,count,mean,std,min,25%,50%,75%,max
id,48895.0,19017143.236179568,10983108.385610096,2539.0,9471945.0,19677284.0,29152178.5,36487245.0
host_id,48895.0,67620010.64661008,78610967.03266661,2438.0,7822033.0,30793816.0,107434423.0,274321313.0
latitude,48895.0,40.72894888066264,0.054530078057371915,40.49979,40.6901,40.72307,40.763115,40.91306
longitude,48895.0,-73.95216961468452,0.04615673610637153,-74.24442,-73.98307,-73.95568,-73.936275,-73.71299
price,48895.0,152.7206871868289,240.15416974718758,0.0,69.0,106.0,175.0,10000.0
minimum_nights,48895.0,7.029962163820431,20.51054953317987,1.0,1.0,3.0,5.0,1250.0
number_of_reviews,48895.0,23.274465691788528,44.55058226668393,0.0,1.0,5.0,24.0,629.0
reviews_per_month,38843.0,1.3732214298586616,1.6804419952744725,0.01,0.19,0.72,2.02,58.5
calculated_host_listings_count,48895.0,7.143982002249719,32.95251884941993,1.0,1.0,1.0,2.0,327.0
availability_365,48895.0,112.78132733408324,131.62228885171479,0.0,0.0,45.0,227.0,365.0
