feature,importance
num__days_since_last_review,0.48390966783240347
num__availability_365,0.13165085461754727
num__minimum_nights,0.06606959579978468
num__distance_from_manhattan_km,0.05960065639999572
num__log_minimum_nights,0.056078931378974996
num__log_price,0.040804394260583195
num__price,0.04059276657225465
num__name_sentiment,0.03931300183269317
num__log_calculated_host_listings_count,0.024098720372581064
num__calculated_host_listings_count,0.02211919900147102
cat__neighbourhood_group_Queens,0.00694502280495182
cat__room_type_Entire home/apt,0.0056841946260191316
num__is_professional_host,0.005624964998658025
cat__room_type_Private room,0.004901374714430349
cat__neighbourhood_group_Brooklyn,0.004319411681685513
cat__neighbourhood_group_Manhattan,0.004006220371932834
cat__room_type_Shared room,0.0017695041617783514
cat__neighbourhood_group_Bronx,0.001712810256392025
cat__neighbourhood_group_Staten Island,0.0007987083158627601
